source_center,destination_center,trip_count,median_actual_time,mean_actual_time,median_osrm_time,median_delay_ratio,mean_delay_ratio,std_delay_ratio,delay_pct,sla_breach_rate,chronic_delay_rate,median_distance,ftl_share,route_type_entropy,is_bottleneck_corridor,src_betweenness,dst_betweenness,src_pagerank,dst_pagerank,src_risk,dst_risk,src_community,dst_community,cross_community,corridor_risk,delay_pct_over_osrm,revenue_risk_proxy,corridor_label
IND485771AAA,IND486771AAA,5,448.0,373.0,74.0,5.285714285714286,5.0444290444290445,2.2340599365608145,428.57142857142856,0.8,1.0,68.91854576832827,1.0,-1.4426951601859516e-10,True,0.0004175970926923,0.0012361895587956,0.0001826432980433,0.0007751548629571,0.1764917838057306,0.1338622408030417,1,1,0,0.1551770123043861,428.57142857142856,4.0,85771AAA → 86771AAA
IND209304AAA,IND208019AAA,36,77.5,77.88888888888889,15.0,5.258241758241758,5.192337718563209,1.6603690832073277,425.8241758241758,0.5,1.0,11.219957764160087,0.0,-1.4426951601859516e-10,True,0.0572664448239123,0.0,0.0111358066055175,0.0003381441539411,0.3757694622956246,0.1987504828375818,1,1,0,0.2872599725666032,425.8241758241758,18.0,09304AAA → 08019AAA
IND181201AAB,IND181152AAB,24,98.5,100.91666666666669,18.0,5.240384615384615,5.668952580150896,1.462038332540963,424.0384615384616,0.6666666666666666,1.0,18.22576909325902,0.0,-1.4426951601859516e-10,True,0.0,0.0020148284367383,0.0002713047752924,0.0003903861029633,0.2050839977296298,0.2114100815122479,2,2,0,0.2082470396209388,424.0384615384615,16.0,81201AAB → 81152AAB
IND211002AAB,IND211013AAA,17,69.0,66.23529411764706,14.0,5.222222222222222,5.533029878618114,0.9200103772556444,422.22222222222223,0.5882352941176471,1.0,17.732915949959885,0.0,-1.4426951601859516e-10,True,0.0088434257191645,0.0,0.0028562121631972,0.000268620512442,0.2482284429897205,0.0972530302911644,1,1,0,0.1727407366404424,422.22222222222223,10.0,11002AAB → 11013AAA
IND201301AAD,IND110037AAM,6,117.0,128.33333333333334,28.5,5.1923076923076925,5.17957468280049,1.1354105892867092,419.2307692307693,0.6666666666666666,1.0,20.27076181124974,0.0,-1.4426951601859516e-10,True,0.0,0.1761789045054512,0.0001513189746661,0.0101092179893563,0.2035033506865829,0.5909761988043842,1,1,0,0.3972397747454836,419.2307692307692,4.0,01301AAD → 10037AAM
IND712124AAA,IND712310AAE,5,106.0,102.2,13.0,5.076923076923077,6.402502760397498,2.523603959313764,407.6923076923077,0.4,1.0,10.29693847321932,0.0,-1.4426951601859516e-10,True,2.554110658668652e-06,0.0032590452004611,0.0003123804553449,0.0005820730686121,0.1511184768370932,0.2110968001080062,35,35,0,0.1811076384725497,407.6923076923077,2.0,12124AAA → 12310AAE
IND274304AAA,IND274304AAB,6,63.0,60.5,13.0,5.038461538461538,4.769230769230769,0.5817744738827398,403.8461538461538,0.0,1.0,18.134552590813595,1.0,-1.4426951601859516e-10,True,0.0,0.0004086577053869,0.0003243766394199,0.0005625762901762,0.1074672121555583,0.0931175728822351,21,21,0,0.1002923925188967,403.8461538461538,0.0,74304AAA → 74304AAB
IND403401AAA,IND403726AAB,6,158.5,211.8333333333333,29.0,4.99055829228243,7.174870213270579,6.736179262947495,399.055829228243,0.5,1.0,13.320584535191704,0.0,-1.4426951601859516e-10,True,0.0,7.297459024767576e-06,0.0005353455643211,0.0021763686474547,0.1591393171473694,0.1647792707621177,50,50,0,0.1619592939547436,399.05582922824306,3.0,03401AAA → 03726AAB
IND732139AAA,IND732103AAB,6,174.0,163.33333333333334,37.5,4.959183673469388,4.734024705453277,0.9134877031525062,395.9183673469388,0.8333333333333334,1.0,31.32487992408608,0.0,-1.4426951601859516e-10,True,6.567713122290818e-06,0.0032761942291694,0.0011557305993177,0.002113985025825,0.1817080465714116,0.238623032984961,24,24,0,0.2101655397781863,395.9183673469388,5.0,32139AAA → 32103AAB
IND501401AAC,IND500010AAA,21,74.0,87.0952380952381,14.0,4.933333333333334,6.669192447763876,4.680229202724104,393.33333333333337,0.3333333333333333,1.0,9.443441841012667,0.0,-1.4426951601859516e-10,True,0.0004035494840696,0.0020186596027263,0.0002951800249908,0.0006209487898777,0.1373698316793184,0.1852148095405028,81,81,0,0.1612923206099106,393.33333333333337,7.0,01401AAC → 00010AAA
IND781124AAA,IND781018AAB,16,120.0,130.0625,27.5,4.880208333333334,5.133730530518659,0.9296291513609288,388.02083333333337,0.625,1.0,22.191596962458146,0.0,-1.4426951601859516e-10,True,0.0,0.0618923040997124,0.0001886528394634,0.0044750765853312,0.2041003858995968,0.3718016433459813,1,1,0,0.2879510146227891,388.02083333333337,10.0,81124AAA → 81018AAB
IND530012AAA,IND764020AAC,15,350.0,341.46666666666664,70.0,4.714285714285714,5.281368539533743,1.5017414866957015,371.4285714285714,0.9333333333333332,1.0,72.8978028319029,0.0,-1.4426951601859516e-10,True,0.0317494198520075,0.0016196710305471,0.0045128515061289,0.0001938307902296,0.3101286362501601,0.2149918690805566,6,6,0,0.2625602526653584,371.42857142857144,13.999999999999998,30012AAA → 64020AAC
IND624601AAA,IND624001AAA,6,199.0,201.3333333333333,45.0,4.661844863731656,5.345160409122673,1.58493610179676,366.1844863731656,0.6666666666666666,1.0,44.39278653252947,1.0,-1.4426951601859516e-10,True,2.043288526934921e-05,2.116263117182597e-05,0.0008454269167963,0.0003322603754594,0.1455305436874909,0.1696297670907704,8,8,0,0.1575801553891306,366.1844863731656,4.0,24601AAA → 24001AAA
IND796009AAA,IND796321AAB,13,563.0,491.84615384615387,128.0,4.6484375,4.734355981947616,0.8609341222447232,364.84375,0.6923076923076923,1.0,66.38654021614973,1.0,-1.4426951601859516e-10,True,0.0,0.0,0.0007501755046973,0.0007501755046973,0.2134607205853976,0.2134607205853976,158,158,0,0.2134607205853976,364.84375,9.0,96009AAA → 96321AAB
IND742225AAA,IND742223AAA,32,36.0,36.5,8.5,4.619047619047619,4.463876488095238,0.6416052798388324,361.9047619047619,0.5,1.0,9.46678260192166,0.0,-1.4426951601859516e-10,True,0.0008092882058467,0.0012128376899163,0.0002918967357465,0.0003610160812885,0.189044534727852,0.184142008000327,16,16,0,0.1865932713640895,361.90476190476187,16.0,42225AAA → 42223AAA
